"Industries,
 Prefectures and 21 Major cities",,,,,Number of establishments,,,,Number of persons engaged,Total cash wages and salaries,"Cost of raw materials, fuels and electricity consumed, and subcontracting expenses for consigned production",Value of manufactured goods shipments,Value of production,Value added
09,食料品製造業,18,福井県,2019,30,21,6,3,"2,680","7,317","18,652","38,993","36,112","17,645"
09,食料品製造業,19,山梨県,2019,57,28,23,6,"8,500","26,820","110,276","197,374","193,775","76,918"
09,食料品製造業,20,長野県,2019,169,122,40,7,"16,948","59,942","282,640","517,655","492,113","205,768"
09,食料品製造業,21,岐阜県,2019,131,85,37,9,"13,604","39,746","198,640","325,591","315,936","110,782"
09,食料品製造業,22,静岡県,2019,310,202,86,22,"35,551","119,283","716,825","1,161,785","1,095,940","384,233"
09,食料品製造業,23,愛知県,2019,405,246,120,39,"54,179","180,167","939,376","1,529,751","1,465,131","515,233"
09,食料品製造業,24,三重県,2019,122,72,42,8,"13,580","42,756","250,484","435,716","417,663","161,967"
09,食料品製造業,25,滋賀県,2019,71,39,25,7,"10,178","31,089","190,369","382,242","366,943","173,462"
09,食料品製造業,26,京都府,2019,155,101,45,9,"18,089","55,354","254,475","506,442","484,329","221,316"
09,食料品製造業,27,大阪府,2019,301,185,86,30,"42,156","140,272","617,840","1,194,056","1,132,796","508,177"
09,食料品製造業,28,兵庫県,2019,333,196,98,39,"47,243","150,640","959,883","1,552,539","1,484,909","508,727"
09,食料品製造業,29,奈良県,2019,56,35,16,5,"7,020","25,614","114,950","227,266","211,799","98,960"
09,食料品製造業,30,和歌山県,2019,65,50,14,1,"5,026","14,326","86,093","131,804","124,748","40,814"
09,食料品製造業,31,鳥取県,2019,59,36,19,4,"6,061","18,889","87,416","139,027","121,660","44,731"
09,食料品製造業,32,島根県,2019,46,36,10,***,"3,319","8,639","29,249","49,116","45,296","17,247"
09,食料品製造業,33,岡山県,2019,119,69,35,15,"18,082","60,313","292,724","509,484","490,701","190,786"
09,食料品製造業,34,広島県,2019,179,115,47,17,"23,277","70,224","345,928","576,191","485,149","206,100"
09,食料品製造業,35,山口県,2019,95,64,27,4,"9,464","27,086","108,557","182,423","171,175","64,037"
09,食料品製造業,36,徳島県,2019,49,36,11,2,"4,905","13,966","73,431","112,483","105,512","34,432"
09,食料品製造業,37,香川県,2019,101,68,28,5,"10,586","32,136","179,507","290,541","263,407","98,129"
09,食料品製造業,38,愛媛県,2019,110,76,29,5,"10,984","29,805","162,595","261,432","249,666","86,356"
09,食料品製造業,39,高知県,2019,46,37,9,***,"3,676","10,551","41,596","70,798","66,252","25,797"
09,食料品製造業,40,福岡県,2019,300,190,87,23,"38,275","110,288","544,723","959,750","885,671","365,527"
09,食料品製造業,41,佐賀県,2019,101,57,31,13,"14,697","44,598","191,386","327,552","310,711","121,586"
09,食料品製造業,42,長崎県,2019,96,65,26,5,"10,345","29,267","157,592","255,707","243,916","86,356"
09,食料品製造業,43,熊本県,2019,111,70,34,7,"14,294","41,492","214,142","338,284","318,724","108,695"
09,食料品製造業,44,大分県,2019,63,50,12,1,"4,876","14,218","76,438","118,109","113,531","36,204"
09,食料品製造業,45,宮崎県,2019,96,64,26,6,"10,411","29,881","206,923","285,558","275,350","67,063"
09,食料品製造業,46,鹿児島県,2019,192,143,37,12,"18,712","53,007","447,662","585,363","560,531","119,453"
09,食料品製造業,47,沖縄県,2019,77,59,13,5,"8,059","22,477","87,634","142,676","123,672","46,510"
09,食料品製造業,61,札幌市,2019,99,65,24,10,"12,404","35,868","132,416","219,888","202,137","76,057"
09,食料品製造業,62,仙台市,2019,31,23,8,***,"2,851","7,516","28,410","48,870","46,624","17,899"
09,食料品製造業,63,さいたま市,2019,27,16,6,5,"4,640","15,885","99,805","216,288","194,403","99,606"
09,食料品製造業,64,千葉市,2019,46,27,18,1,"6,378","26,101","236,343","325,455","310,189","74,345"
09,食料品製造業,65,東京特別区,2019,88,68,16,4,"7,954","28,406","120,082","200,334","167,814","71,163"
09,食料品製造業,66,横浜市,2019,83,47,23,13,"15,159","51,553","370,701","561,376","523,533","168,760"
09,食料品製造業,67,川崎市,2019,29,8,15,6,"6,150","24,857","154,837","317,833","299,424","145,541"
09,食料品製造業,68,相模原市,2019,26,6,12,8,"6,916","17,023","76,973","114,598","101,473","32,691"
09,食料品製造業,69,新潟市,2019,68,44,16,8,"9,837","33,228","123,189","255,497","240,112","115,182"
09,食料品製造業,70,静岡市,2019,62,49,11,2,"5,626","18,191","162,466","222,171","214,177","52,009"
09,食料品製造業,71,浜松市,2019,37,23,11,3,"4,042","11,228","31,112","69,041","66,514","33,442"
09,食料品製造業,72,名古屋市,2019,74,52,19,3,"7,609","26,593","152,435","217,290","207,899","55,960"
09,食料品製造業,73,京都市,2019,73,58,13,2,"5,909","17,081","50,714","106,902","104,945","50,230"
09,食料品製造業,74,大阪市,2019,91,66,22,3,"8,662","28,107","109,071","191,130","174,633","71,831"
09,食料品製造業,75,堺市,2019,27,17,8,2,"3,128","9,381","60,527","97,049","91,034","31,526"
09,食料品製造業,76,神戸市,2019,105,53,39,13,"15,850","51,807","432,417","684,451","668,737","213,160"
09,食料品製造業,77,岡山市,2019,40,25,11,4,"5,062","16,961","64,666","130,237","129,332","57,835"
09,食料品製造業,78,広島市,2019,63,38,18,7,"8,634","28,826","109,260","191,288","169,959","72,579"
09,食料品製造業,79,北九州市,2019,30,19,10,1,"3,402","8,681","34,412","56,079","56,105","18,736"
09,食料品製造業,80,福岡市,2019,69,47,18,4,"8,280","22,743","135,450","223,389","212,177","77,697"
09,食料品製造業,81,熊本市,2019,39,25,10,4,"4,834","14,563","69,833","114,778","109,324","38,699"
10,飲料・たばこ・飼料製造業,00,全国計,2015,736,559,162,15,"61,230","306,735","3,277,521","8,904,610","8,778,458","2,650,260"
10,飲料・たばこ・飼料製造業,00,全国計,2016,709,524,166,19,"63,001","294,387","3,007,372","8,721,675","8,574,665","2,607,995"
10,飲料・たばこ・飼料製造業,00,全国計,2017,724,536,168,20,"63,254","295,622","2,991,912","8,395,581","8,270,837","2,531,040"
10,飲料・たばこ・飼料製造業,00,全国計,2018,740,548,172,20,"64,685","306,283","3,270,544","8,657,765","8,535,629","2,486,765"
10,飲料・たばこ・飼料製造業,00,全国計,2019,729,538,169,22,"64,917","307,807","3,325,470","8,502,947","8,376,666","2,382,335"
10,飲料・たばこ・飼料製造業,01,北海道,2019,35,32,2,1,"2,237","9,483","87,206","178,311","165,166","48,953"
10,飲料・たばこ・飼料製造業,02,青森県,2019,11,10,1,***,701,"2,566","68,068","77,465","77,535","7,020"
10,飲料・たばこ・飼料製造業,03,岩手県,2019,6,5,1,***,357,"1,306","14,994","35,068","34,787","17,326"
10,飲料・たばこ・飼料製造業,04,宮城県,2019,13,10,3,***,993,"5,120","82,269","160,238","159,171","41,888"
10,飲料・たばこ・飼料製造業,05,秋田県,2019,9,8,1,***,521,"2,115","4,245","14,858","14,771","6,284"
10,飲料・たばこ・飼料製造業,06,山形県,2019,10,7,3,***,754,"3,117","20,855","31,996","32,169","9,253"
10,飲料・たばこ・飼料製造業,07,福島県,2019,9,8,1,***,590,"2,958","22,927","121,450","121,582","38,374"
10,飲料・たばこ・飼料製造業,08,茨城県,2019,22,16,6,***,"2,013","11,000","248,357","497,230","494,598","100,593"
10,飲料・たばこ・飼料製造業,09,栃木県,2019,14,9,4,1,"1,551","8,216","103,719","923,087","923,682","191,659"
10,飲料・たばこ・飼料製造業,10,群馬県,2019,18,9,8,1,"2,322","14,004","158,852","328,214","327,909","115,195"
10,飲料・たばこ・飼料製造業,11,埼玉県,2019,20,12,8,***,"1,839","8,495","146,582","190,317","188,352","34,116"
10,飲料・たばこ・飼料製造業,12,千葉県,2019,22,12,8,2,"3,085","14,991","115,766","363,332","362,068","139,878"
10,飲料・たばこ・飼料製造業,13,東京都,2019,7,4,3,***,690,"3,910","48,858","94,844","95,029","18,954"
10,飲料・たばこ・飼料製造業,14,神奈川県,2019,24,13,11,***,"2,801","13,296","152,857","410,417","408,571","154,084"
10,飲料・たばこ・飼料製造業,15,新潟県,2019,21,17,4,***,"1,486","7,282","18,706","43,547","42,523","16,428"
10,飲料・たばこ・飼料製造業,16,富山県,2019,10,6,4,***,886,"3,378","43,537","60,741","60,875","14,348"
10,飲料・たばこ・飼料製造業,17,石川県,2019,4,3,1,***,276,X,X,X,X,X
10,飲料・たばこ・飼料製造業,18,福井県,2019,***,***,***,***,***,***,***,***,***,***
10,飲料・たばこ・飼料製造業,19,山梨県,2019,28,22,6,***,"2,291","10,051","63,497","163,600","164,811","81,482"
10,飲料・たばこ・飼料製造業,20,長野県,2019,22,13,7,2,"2,450","11,570","79,929","130,015","121,516","39,129"
10,飲料・たばこ・飼料製造業,21,岐阜県,2019,13,9,4,***,970,"4,217","39,312","60,777","57,745","15,995"
10,飲料・たばこ・飼料製造業,22,静岡県,2019,61,42,14,5,"6,408","28,818","259,013","843,202","825,137","324,732"
10,飲料・たばこ・飼料製造業,23,愛知県,2019,31,20,10,1,"2,983","15,626","204,401","387,950","378,744","95,493"
10,飲料・たばこ・飼料製造業,24,三重県,2019,12,9,2,1,"1,197","4,841","44,698","76,596","74,617","20,179"
10,飲料・たばこ・飼料製造業,25,滋賀県,2019,7,3,4,***,807,"4,317","46,068","129,013","129,265","61,013"
10,飲料・たばこ・飼料製造業,26,京都府,2019,28,20,7,1,"2,720","14,107","157,438","810,415","805,111","173,404"
10,飲料・たばこ・飼料製造業,27,大阪府,2019,13,12,1,***,862,"4,667","60,831","233,004","221,845","76,473"
10,飲料・たばこ・飼料製造業,28,兵庫県,2019,48,31,15,2,"4,751","23,492","209,804","388,241","378,799","110,023"
10,飲料・たばこ・飼料製造業,29,奈良県,2019,6,5,***,1,559,"2,373","9,213","16,790","16,645","6,003"
10,飲料・たばこ・飼料製造業,30,和歌山県,2019,14,10,4,***,"1,326","5,011","26,617","50,772","46,750","20,263"
10,飲料・たばこ・飼料製造業,31,鳥取県,2019,7,6,1,***,512,"2,020","8,313","19,178","19,245","8,547"
10,飲料・たばこ・飼料製造業,32,島根県,2019,4,4,***,***,248,811,"3,442","7,170","6,304","3,210"
10,飲料・たばこ・飼料製造業,33,岡山県,2019,9,8,1,***,547,"2,893","58,951","152,571","151,455","49,135"
10,飲料・たばこ・飼料製造業,34,広島県,2019,10,9,1,***,661,"2,658","10,408","20,609","19,298","6,333"
10,飲料・たばこ・飼料製造業,35,山口県,2019,6,3,2,1,868,"3,706","26,321","45,520","45,942","12,218"
10,飲料・たばこ・飼料製造業,36,徳島県,2019,5,4,1,***,461,"1,990","19,374","31,361","29,074","10,568"
10,飲料・たばこ・飼料製造業,37,香川県,2019,2,2,***,***,83,X,X,X,X,X
10,飲料・たばこ・飼料製造業,38,愛媛県,2019,5,5,***,***,359,"1,739","28,521","55,069","54,856","8,223"
10,飲料・たばこ・飼料製造業,39,高知県,2019,6,6,***,***,290,"1,156","4,875","8,532","8,568","2,688"
10,飲料・たばこ・飼料製造業,40,福岡県,2019,24,17,6,1,"2,279","12,060","91,321","507,950","504,341","122,436"
10,飲料・たばこ・飼料製造業,41,佐賀県,2019,8,4,4,***,900,"4,310","85,766","99,338","101,225","12,679"
10,飲料・たばこ・飼料製造業,42,長崎県,2019,7,7,***,***,355,"1,289","15,300","20,683","19,252","4,221"
10,飲料・たばこ・飼料製造業,43,熊本県,2019,11,9,2,***,933,"5,195","83,916","105,649","103,583","10,871"
10,飲料・たばこ・飼料製造業,44,大分県,2019,10,8,1,1,929,"6,323","23,131","104,393","103,082","44,285"
10,飲料・たばこ・飼料製造業,45,宮崎県,2019,23,20,2,1,"1,947","7,550","92,966","160,908","148,954","39,586"
10,飲料・たばこ・飼料製造業,46,鹿児島県,2019,38,35,3,***,"2,243","8,745","204,721","282,679","275,487","53,356"
10,飲料・たばこ・飼料製造業,47,沖縄県,2019,16,14,2,***,876,"3,427","25,374","51,654","47,894","12,211"
10,飲料・たばこ・飼料製造業,61,札幌市,2019,3,2,***,1,462,"2,138","6,296","25,741","23,998","7,087"
10,飲料・たばこ・飼料製造業,62,仙台市,2019,4,3,1,***,303,"1,763","14,805","63,064","62,650","26,180"
10,飲料・たばこ・飼料製造業,63,さいたま市,2019,2,***,2,***,308,X,X,X,X,X
10,飲料・たばこ・飼料製造業,64,千葉市,2019,1,1,***,***,38,X,X,X,X,X
10,飲料・たばこ・飼料製造業,65,東京特別区,2019,***,***,***,***,***,***,***,***,***,***
10,飲料・たばこ・飼料製造業,66,横浜市,2019,4,2,2,***,403,"2,411","25,417","113,784","112,948","39,501"
10,飲料・たばこ・飼料製造業,67,川崎市,2019,1,1,***,***,51,X,X,X,X,X
10,飲料・たばこ・飼料製造業,68,相模原市,2019,1,1,***,***,30,X,X,X,X,X
10,飲料・たばこ・飼料製造業,69,新潟市,2019,3,2,1,***,263,"1,335","3,161","7,681","7,668","2,994"
10,飲料・たばこ・飼料製造業,70,静岡市,2019,7,4,2,1,"1,132","4,852","30,924","48,137","32,809","14,768"
10,飲料・たばこ・飼料製造業,71,浜松市,2019,1,1,***,***,64,X,X,X,X,X
10,飲料・たばこ・飼料製造業,72,名古屋市,2019,3,2,1,***,280,"2,072","22,052","86,463","86,371","15,115"
10,飲料・たばこ・飼料製造業,73,京都市,2019,11,6,4,1,"1,414","7,222","71,665","654,949","653,336","139,761"
10,飲料・たばこ・飼料製造業,74,大阪市,2019,3,3,***,***,166,"1,076","7,480","47,288","47,566","24,460"
10,飲料・たばこ・飼料製造業,75,堺市,2019,***,***,***,***,***,***,***,***,***,***
10,飲料・たばこ・飼料製造業,76,神戸市,2019,17,10,7,***,"1,523","7,325","55,551","160,042","158,572","56,980"
10,飲料・たばこ・飼料製造業,77,岡山市,2019,3,2,1,***,307,"1,643","22,761","107,985","107,554","42,841"
10,飲料・たばこ・飼料製造業,78,広島市,2019,***,***,***,***,***,***,***,***,***,***
10,飲料・たばこ・飼料製造業,79,北九州市,2019,3,3,***,***,194,758,"3,261","14,571","14,150","3,809"
10,飲料・たばこ・飼料製造業,80,福岡市,2019,1,***,1,***,151,X,X,X,X,X
10,飲料・たばこ・飼料製造業,81,熊本市,2019,3,2,1,***,397,"2,195","20,345","25,006","24,145","4,002"
11,繊維工業,00,全国計,2015,"1,907","1,562",321,24,"142,138","455,230","1,545,909","2,719,128","2,566,159","997,263"
11,繊維工業,00,全国計,2016,"1,883","1,522",331,30,"144,951","458,620","1,501,180","2,644,481","2,477,086","977,020"
11,繊維工業,00,全国計,2017,"1,871","1,522",320,29,"143,662","467,231","1,505,231","2,641,592","2,469,170","970,950"
11,繊維工業,00,全国計,2018,"1,859","1,506",326,27,"143,139","468,945","1,538,852","2,674,349","2,493,412","976,963"
11,繊維工業,00,全国計,2019,"1,788","1,441",319,28,"138,595","460,590","1,490,582","2,619,105","2,426,652","977,717"
11,繊維工業,01,北海道,2019,17,16,***,1,"1,196","3,594","6,602","15,706","15,235","8,244"
11,繊維工業,02,青森県,2019,39,30,8,1,"3,469","6,446","5,740","14,919","14,834","8,150"
11,繊維工業,03,岩手県,2019,52,45,7,***,"3,276","6,912","9,546","20,576","20,343","9,900"
11,繊維工業,04,宮城県,2019,27,23,4,***,"1,683","4,114","4,501","12,064","11,417","6,872"
11,繊維工業,05,秋田県,2019,57,51,6,***,"3,365","7,100","13,192","25,734","25,466","11,032"
11,繊維工業,06,山形県,2019,62,50,12,***,"4,263","9,742","17,813","35,142","34,639","15,408"
11,繊維工業,07,福島県,2019,49,44,5,***,"3,000","7,302","13,532","25,249","25,185","10,560"
11,繊維工業,08,茨城県,2019,23,15,7,1,"2,102","8,264","28,112","49,845","46,965","15,339"
11,繊維工業,09,栃木県,2019,26,23,3,***,"1,471","5,565","22,345","38,314","35,581","14,135"
11,繊維工業,10,群馬県,2019,22,19,3,***,"1,396","4,849","10,652","19,862","19,814","7,880"
11,繊維工業,11,埼玉県,2019,34,29,4,1,"2,400","8,859","34,737","57,104","45,932","19,529"
11,繊維工業,12,千葉県,2019,11,10,1,***,815,"2,781","4,131","10,239","10,043","5,078"
11,繊維工業,13,東京都,2019,16,14,2,***,905,"2,841","5,874","10,560","9,267","4,163"
11,繊維工業,14,神奈川県,2019,13,9,4,***,"1,128","5,318","11,905","24,994","22,065","11,694"
11,繊維工業,15,新潟県,2019,72,59,12,1,"5,511","16,211","19,190","50,344","47,972","28,079"
